,US State Name,State_x,Month_x,Avg_temp,Density (Pop./ mi2),Population,sick death,all death
245,Virginia,VA,May,65.175,212.0,"8,382,993",70.15,1174.0
246,Washington,WA,May,55.77142857142857,107.0,"7,170,351",69.275,975.725
247,West Virginia,WV,May,61.4,76.0,"1,844,128",31.5,408.4
248,Wisconsin,WI,May,56.925,106.0,"5,771,337",57.7,931.625
249,Wyoming,WY,May,52.45,6.0,"586,107",6.275,86.925
250,Alabama,AL,June,78.55,95.0,"4,858,979",51.05263157894736,924.4473684210526
251,Alaska,AK,June,51.735,1.0,"738,432",3.9736842105263164,77.10526315789474
252,Arizona,AZ,June,78.88,60.0,"6,828,065",53.526315789473685,980.6052631578948
253,Arkansas,AR,June,78.53333333333332,57.0,"2,978,204",40.60526315789474,558.6052631578947
254,California,CA,June,67.11875,251.0,"39,144,818",348.84210526315786,4584.868421052632
255,Colorado,CO,June,66.82000000000001,52.0,"5,456,574",36.973684210526315,638.5
256,Connecticut,CT,June,68.75,741.0,"3,590,886",37.23684210526316,544.8421052631579
257,Delaware,DE,June,72.2,485.0,"945,934",9.210526315789474,150.60526315789474
258,Florida,FL,June,81.0692307692308,378.0,"20,271,272",186.13157894736838,3481.921052631579
259,Georgia,GA,June,78.78333333333333,177.0,"10,214,860",75.78947368421052,1404.7368421052633
260,Hawaii,HI,June,76.975,222.0,"1,431,603",19.5,203.5263157894737
261,Idaho,ID,June,65.2,20.0,"1,654,930",12.947368421052632,236.13157894736838
262,Illinois,IL,June,70.9,231.0,"12,859,995",122.68421052631581,1886.4736842105265
263,Indiana,IN,June,71.57499999999997,184.0,"6,619,680",72.94736842105263,1107.7368421052631
264,Iowa,IA,June,69.575,55.0,"3,123,899",35.21052631578947,518.8947368421053
265,Kansas,KS,June,73.24,36.0,"2,911,641",31.76315789473684,471.5
266,Kentucky,KY,June,73.85,112.0,"4,425,092",64.28947368421052,826.8947368421052
267,Louisiana,LA,June,80.9,108.0,"4,670,724",39.28947368421053,788.4473684210526
268,Maine,ME,June,62.05,43.0,"1,329,328",15.578947368421053,245.68421052631575
269,Maryland,MD,June,72.4,618.0,"6,006,401",57.28947368421053,848.236842105263
270,Massachusetts,MA,June,66.26666666666667,871.0,"6,794,422",77.52631578947368,1002.2894736842104
271,Michigan,MI,June,64.77777777777777,175.0,"9,922,576",104.73684210526315,1692.8157894736844
272,Minnesota,MN,June,64.58,68.0,"5,489,594",44.60526315789475,737.3421052631578
273,Mississippi,MS,June,78.33333333333333,63.0,"2,992,333",33.89473684210526,558.8947368421053
274,Missouri,MO,June,74.5,88.0,"6,083,672",64.21052631578948,1064.3157894736842
275,Montana,MT,June,61.61666666666665,7.0,"1,032,949",10.18421052631579,173.26315789473685
276,Nebraska,NE,June,69.6875,24.0,"1,896,190",20.13157894736842,292.2368421052632
